"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 16:24:22 GMT 2022","Sat Jun 25 16:24:25 GMT 2022","2324","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Sat Jun 25 16:23:14 GMT 2022","Sat Jun 25 16:23:16 GMT 2022","2337","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
"passed","Sat Jun 25 16:23:26 GMT 2022","Sat Jun 25 16:23:26 GMT 2022","130","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"broken","Sat Jun 25 16:23:45 GMT 2022","Sat Jun 25 16:23:47 GMT 2022","2255","test_conduit","test_remek","TestConduit","","","test_import_articles",""
"passed","Sat Jun 25 16:23:28 GMT 2022","Sat Jun 25 16:23:35 GMT 2022","6387","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 25 16:23:36 GMT 2022","Sat Jun 25 16:23:43 GMT 2022","6848","test_conduit","test_remek","TestConduit","","","test_adding_new_input",""
"passed","Sat Jun 25 16:22:57 GMT 2022","Sat Jun 25 16:23:12 GMT 2022","15145","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Sat Jun 25 16:23:49 GMT 2022","Sat Jun 25 16:24:21 GMT 2022","31819","test_conduit","test_remek","TestConduit","","","test_delete_article",""
"passed","Sat Jun 25 16:23:18 GMT 2022","Sat Jun 25 16:23:20 GMT 2022","2277","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 25 16:23:22 GMT 2022","Sat Jun 25 16:23:24 GMT 2022","2258","test_conduit","test_remek","TestConduit","","","test_sign_in",""
